sample-T,sample-t,index,I,U,T,Capacity,SOC
4980.546998,103.4532168,8,-0.480844796,3.350243807,27.17523193,-0.008985657,9.91E-01
4981.548152,104.4543705,8,-0.480844796,3.349320412,27.06995964,-0.009119379,9.91E-01
4982.551905,105.4581231,8,-0.962068021,3.271760941,27.14466858,-0.009387623,9.91E-01
4983.559386,106.4656044,8,-0.962068021,3.268375397,27.02581406,-0.009656863,9.91E-01
4984.569019,107.4752369,8,-0.962068021,3.265913248,27.1005249,-0.009926678,9.90E-01
4985.570067,108.4762855,8,-0.962068021,3.263143301,26.95109558,-0.0101942,9.90E-01
4986.577164,109.4833819,8,-0.962068021,3.260680914,27.02581406,-0.010463337,9.90E-01
4987.583143,110.4893611,8,-0.962068021,3.258526564,27.02581406,-0.010732176,9.90E-01
4988.592291,111.4985096,8,-0.962068021,3.256064415,27.1005249,-0.011001862,9.89E-01
4989.602244,112.508462,8,-0.962068021,3.254217625,27.02581406,-0.011271763,9.89E-01
4990.60331,113.5095276,8,-0.962068021,3.252063274,27.02581406,-0.011539289,9.89E-01
4991.604509,114.5107271,8,-0.962068021,3.249908924,26.95109558,-0.011806851,9.89E-01
4992.605421,115.5116387,8,-0.962255836,3.248062134,26.99524498,-0.012074388,9.88E-01
4993.614459,116.5206779,8,-0.961880147,3.24652338,26.99524498,-0.012343992,9.88E-01
4994.618671,117.5248886,8,0.481225967,3.4736619,26.9205265,-0.012209755,9.88E-01
4995.627555,118.5337731,8,0.481225967,3.477662802,26.99524498,-0.012074893,9.88E-01
4996.635625,119.541843,8,0.481225967,3.480125189,27.02581406,-0.011940141,9.88E-01
4997.641689,120.5479073,8,0.481225967,3.483202934,27.02581406,-0.011805656,9.89E-01
4998.647722,121.5539407,8,0.481225967,3.485357285,27.02581406,-0.011671176,9.89E-01
4999.656816,122.5630343,8,0.481225967,3.487203836,27.02581406,-0.011536286,9.89E-01
5000.664828,123.5710468,8,0.481038123,3.489050627,27.1005249,-0.011401594,9.89E-01
5001.674024,124.5802427,8,0.481225967,3.490897179,26.99524498,-0.011266691,9.89E-01
5002.674057,125.5802754,8,-0.480844796,3.339779377,27.02581406,-0.011400263,9.89E-01
5003.677966,126.5841839,8,-0.480656952,3.337625027,26.95109558,-0.011534301,9.89E-01
5004.678021,127.584239,8,-0.480844796,3.335470438,26.95109558,-0.011667876,9.89E-01
